document_id,source,title,url,predicted_relevant,human_relevant,false_positive_reason,false_negative_reason,reviewer_note
79743,dcinside,나이 처먹고 딩크한다는 년들이 제일 웃김ㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=wedding&no=79743,false,,,,
79727,dcinside,성실하고 알뜰하게 사는 여자는 결혼을 안하지,https://gall.dcinside.com/board/view/?id=wedding&no=79727,false,,,,
79753,dcinside,30대 넘은 여자들 중에,https://gall.dcinside.com/board/view/?id=wedding&no=79753,false,,,,
79739,dcinside,아니 근데 진짜 신기하다;;; 진짜로 결혼의 장점을 말 못하네;;,https://gall.dcinside.com/board/view/?id=wedding&no=79739,false,,,,
79737,dcinside,자연에는 결혼 제도 자체가 존재하지 않음,https://gall.dcinside.com/board/view/?id=wedding&no=79737,false,,,,
79749,dcinside,여초에서 핫한 남자력 빙고판.bingo,https://gall.dcinside.com/board/view/?id=wedding&no=79749,false,,,,
76174,dcinside,결혼 준비 체크리스트에 이거 추가해라,https://gall.dcinside.com/board/view/?id=wedding&no=76174,false,,,,
75869,dcinside,전남친ㅈㅅ했다 글썼었는데 결혼식 올리기로함,https://gall.dcinside.com/board/view/?id=wedding&no=75869,false,,,,
75257,dcinside,브라이튼하우스 결혼식 식장 계약 후기,https://gall.dcinside.com/board/view/?id=wedding&no=75257,true,,,,
70373,dcinside,결혼식 싸게했다 팁 공유,https://gall.dcinside.com/board/view/?id=wedding&no=70373,true,,,,
78728,dcinside,축의금이 적은편 인가요?,https://gall.dcinside.com/board/view/?id=wedding&no=78728,true,,,,
78339,dcinside,“축의금 달랑 8만원…모르는 사람 4명이 밥 먹고 갔습니다”,https://gall.dcinside.com/board/view/?id=wedding&no=78339,true,,,,
78204,dcinside,여친이 왜 결혼하자고 안하냐고 물어보는데,https://gall.dcinside.com/board/view/?id=wedding&no=78204,true,,,,
78143,dcinside,요즘은 예식장도 종이폭죽이랑 예도단은 잘 안 쓰나요?,https://gall.dcinside.com/board/view/?id=wedding&no=78143,true,,,,
75885,dcinside,파혼 했다 정말 쫑냈다.,https://gall.dcinside.com/board/view/?id=wedding&no=75885,true,,,,
75655,dcinside,전남친 ㅈㅅ했다 글썼었는데,https://gall.dcinside.com/board/view/?id=wedding&no=75655,false,,,,
74386,dcinside,평범한 한녀가 럴커가 되는 과정,https://gall.dcinside.com/board/view/?id=wedding&no=74386,false,,,,
73731,dcinside,예식장 잡기 좆같네,https://gall.dcinside.com/board/view/?id=wedding&no=73731,true,,,,
71740,dcinside,결혼식 비용 아끼는 방법 떴다 국립공원 무료 웨딩,https://gall.dcinside.com/board/view/?id=wedding&no=71740,true,,,,
71427,dcinside,40대 미혼틀딱남. 결정사 3개월만에 결혼예정임,https://gall.dcinside.com/board/view/?id=wedding&no=71427,false,,,,
69752,dcinside,"""요즘 축의금 15만원이나 내야 하나""…결혼식장 식대 얼마길래",https://gall.dcinside.com/board/view/?id=wedding&no=69752,true,,,,
78859,dcinside,결혼하는데 얼마정도들어?,https://gall.dcinside.com/board/view/?id=wedding&no=78859,true,,,,
78632,dcinside,펌) 결혼식 비용 총 정리 💸1000만원 이내💸,https://gall.dcinside.com/board/view/?id=wedding&no=78632,true,,,,
78514,dcinside,처가에서 지원 거의 안받았는데,https://gall.dcinside.com/board/view/?id=wedding&no=78514,true,,,,
78235,dcinside,키 180㎝ 연봉 5억 의사만 가능?…‘스타 커매’가 본 요즘 결혼 [스,https://gall.dcinside.com/board/view/?id=wedding&no=78235,false,,,,
75575,dcinside,지방 결혼 비용 정리,https://gall.dcinside.com/board/view/?id=wedding&no=75575,true,,,,
72908,dcinside,결혼식 하루에 3-4천 태우는 거,https://gall.dcinside.com/board/view/?id=wedding&no=72908,true,,,,
72775,dcinside,스드메 계약 했는데 이거 환불안됨?,https://gall.dcinside.com/board/view/?id=wedding&no=72775,true,,,,
71905,dcinside,펌) 1시간에 수 천만 원…결혼식 차라리 안 할게요,https://gall.dcinside.com/board/view/?id=wedding&no=71905,true,,,,
